species,Longitude,Latitude
Vellozia_epidendroides,-43.583333,-19.166667
Vellozia_epidendroides,-43.539757,-19.388386
Vellozia_epidendroides,-43.671944,-18.348056
Vellozia_epidendroides,-43.4,-18.87
Vellozia_epidendroides,-43.4,-18.9
Vellozia_epidendroides,-43.38,-18.82
Vellozia_epidendroides,-43.38,-18.82
Vellozia_epidendroides,-43.55,-18.55
Vellozia_epidendroides,-43.62,-18.53
Vellozia_epidendroides,-43.7,-18.27
Vellozia_epidendroides,-43.55,-18.18
Vellozia_epidendroides,-43.55,-18.18
Vellozia_epidendroides,-43.5367,-18.1838
Vellozia_epidendroides,-43.5367,-18.1838
Vellozia_epidendroides,-43.52971,-18.179837
Vellozia_epidendroides,-43.600833,-18.240278
Vellozia_epidendroides,-43.6897,-18.325
Vellozia_epidendroides,-43.566908,-19.391522
Vellozia_epidendroides,-43.567098,-19.391463
Vellozia_epidendroides,-43.7143985,-19.1729946
Vellozia_epidendroides,-43.6004898,-18.2531773
Vellozia_epidendroides,-43.781667,-18.29
Vellozia_epidendroides,-43.7143985,-19.1729946
Vellozia_epidendroides,-43.54,-18.36
Vellozia_epidendroides,-43.29,-18.27
Vellozia_epidendroides,-43.33,-18.18
Vellozia_epidendroides,-43.75,-18.85
Vellozia_epidendroides,-43.49,-18.5
Vellozia_epidendroides,-43.616667,-19.333333
Vellozia_epidendroides,-43.37,-19.2
Vellozia_epidendroides,-43.6004898,-18.2531773
Vellozia_epidendroides,-43.6004898,-18.2531773
Vellozia_epidendroides,-43.6004898,-18.2531773
Vellozia_epidendroides,-43.6557937,-18.449581
Vellozia_epidendroides,-43.816667,-18.266667
Vellozia_epidendroides,-43.6004898,-18.2531773
Vellozia_epidendroides,-43.7143985,-19.1729946
Vellozia_epidendroides,-43.35,-19.2
Vellozia_epidendroides,-43.43,-18.533
Vellozia_epidendroides,-43.14,-18.52
Vellozia_epidendroides,-43.14,-18.52
Vellozia_epidendroides,-43.369444,-18.011944
Vellozia_epidendroides,-43.221,-18.0843
Vellozia_epidendroides,-43.7,-19.166667
Vellozia_epidendroides,-43.544722,-19.249444
Vellozia_epidendroides,-43.4509,-18.4839
Vellozia_epidendroides,-43.5925,-18.571944
Vellozia_epidendroides,-43.7143985,-19.1729946
Vellozia_epidendroides,-43.3509,-19.2037
Vellozia_epidendroides,-43.41061,-18.56148
Vellozia_epidendroides,-43.761944,-19.008056
Vellozia_epidendroides,-43.763056,-19
Vellozia_epidendroides,-43.371111,-18.143611
Vellozia_epidendroides,-43.371306,-18.201611
Vellozia_epidendroides,-43.560833,-19.456389
Vellozia_epidendroides,-43.516667,-19.25
Vellozia_epidendroides,-43.550556,-19.261389
Vellozia_epidendroides,-43.587778,-19.289444
Vellozia_epidendroides,-43.551944,-19.261111
Vellozia_epidendroides,-43.510556,-19.246944
Vellozia_epidendroides,-43.681667,-18.943889
Vellozia_epidendroides,-43.737325,-19.048652
Vellozia_epidendroides,-43.758333,-18.962778
Vellozia_epidendroides,-43.74941,-18.942663
Vellozia_epidendroides,-43.738892,-19.048022
Vellozia_epidendroides,-43.792222,-17.903611
Vellozia_epidendroides,-43.368636,-18.390286
Vellozia_epidendroides,-43.622222,-17.797778
Vellozia_epidendroides,-43.3347,-18.1051
Vellozia_epidendroides,-43.343056,-18.114444
Vellozia_epidendroides,-43.737222,-19.048611
Vellozia_epidendroides,-43.488056,-18.473333
Vellozia_epidendroides,-43.484444,-19.22
Vellozia_epidendroides,-43.575,-18.148056
Vellozia_epidendroides,-43.516944,-19.2228
Vellozia_epidendroides,-43.566389,-18.198056
Vellozia_epidendroides,-43.709444,-19.049444
Vellozia_epidendroides,-43.841222,-18.788333
Vellozia_epidendroides,-43.554722,-19.253333
Vellozia_epidendroides,-43.717222,-19.033055
Vellozia_epidendroides,-43.704722,-19.025
Vellozia_epidendroides,-43.758333,-19.005556
Vellozia_epidendroides,-43.518889,-19.247222
Vellozia_epidendroides,-43.550833,-19.2575
Vellozia_epidendroides,-43.628056,-18.191944
Vellozia_epidendroides,-43.762778,-18.291667
Vellozia_epidendroides,-43.5525,-18.354722
Vellozia_epidendroides,-43.488611,-18.471944
Vellozia_epidendroides,-43.490278,-18.470278
Vellozia_epidendroides,-43.2806,-19.421583
Vellozia_epidendroides,-43.593888,-19.282222
Vellozia_epidendroides,-43.615556,-19.063056
Vellozia_epidendroides,-43.342222,-18.228333
Vellozia_epidendroides,-43.711388,-19.043611
Vellozia_epidendroides,-43.806389,-17.891667
Vellozia_epidendroides,-43.806389,-17.891667
Vellozia_epidendroides,-43.553611,-18.355277
Vellozia_epidendroides,-43.553611,-18.355278
Vellozia_epidendroides,-43.839564,-19.819325
Vellozia_epidendroides,-43.645,-19.094444
Vellozia_epidendroides,-43.623056,-18.188611
Vellozia_epidendroides,-43.4825,-19.4875
Vellozia_epidendroides,-43.53,-19.2625
Vellozia_epidendroides,-43.674444,-19.105
Vellozia_epidendroides,-44.027222,-18.2975
Vellozia_epidendroides,-43.684444,-18.508333
Vellozia_epidendroides,-43.754444,-18.292222
Vellozia_epidendroides,-43.549722,-19.259444
Vellozia_epidendroides,-43.570556,-19.092222
Vellozia_epidendroides,-43.58,-19.1025
Vellozia_epidendroides,-43.566944,-19.089167
Vellozia_epidendroides,-43.548611,-19.505278
Vellozia_epidendroides,-43.541389,-19.5325
Vellozia_epidendroides,-43.463889,-18.481667
Vellozia_epidendroides,-43.602222,-18.19
Vellozia_epidendroides,-43.780833,-17.794722
Vellozia_epidendroides,-43.806111,-17.891389
Vellozia_epidendroides,-43.490833,-18.468889
Vellozia_epidendroides,-43.472222,-18.438055
Vellozia_epidendroides,-43.472222,-18.438055
Vellozia_epidendroides,-43.545278,-19.506667
Vellozia_epidendroides,-43.893333,-19.455556
Vellozia_epidendroides,-43.892222,-19.453306
Vellozia_epidendroides,-43.8835,-19.442833
Vellozia_epidendroides,-43.884139,-19.440417
Vellozia_epidendroides,-43.594289,-19.292667
Vellozia_epidendroides,-43.597778,-19.266389
Vellozia_epidendroides,-43.594278,-19.279389
Vellozia_epidendroides,-43.464444,-18.483611
Vellozia_epidendroides,-43.594444,-19.284167
Vellozia_epidendroides,-43.989472,-19.475083
Vellozia_epidendroides,-43.593333,-19.281389
Vellozia_epidendroides,-43.536389,-19.264444
Vellozia_epidendroides,-43.706667,-19.049444