species,EOO,AOO,# of records,Predicted IUCN category,IUCN code,Actual IUCN category
Vellozia abietina,5438,88,30,LC or NT,NA,
Vellozia alata,602.4,16,7,EN,B1ab(iii)+B2ab(iii),EN
Vellozia albiflora,494965,468,155,LC or NT,NA,
Vellozia aloifolia,21510.1,120,36,LC or NT,NA,
Vellozia andina,3059.4,28,10,EN,B1ab(iii)+B2ab(iii),
Vellozia angustifolia,144252,68,22,LC or NT,NA,
Vellozia armata,27.7,16,4,EN,B1ab(iii),EN
Vellozia asperula,5286.7,20,5,EN,B2ab(iii),
Vellozia auriculata,1166.7,28,7,VU,B1ab(iii)+B2ab(iii),
Vellozia bahiana,4,4,1,CR,B1ab(iii)+B2ab(iii),
Vellozia barbaceniifolia,4,4,2,CR,B1ab(iii)+B2ab(iii),
Vellozia barbata,99.1,12,3,EN,B1ab(iii),EN
Vellozia blanchetiana,26173.2,44,13,VU,B2ab(iii),
Vellozia brachypoda,421.5,12,3,EN,B1ab(iii)+B2ab(iii),
Vellozia brevifolia,1740.2,16,5,EN,B1ab(iii)+B2ab(iii),
Vellozia breviscapa,542.8,32,11,VU,B1ab(iii)+B2ab(iii),
Vellozia bulbosa,8,8,2,EN,B1ab(iii)+B2ab(iii),
Vellozia caespitosa,2462.3,20,6,EN,B1ab(iii)+B2ab(iii),
Vellozia candida,162095,172,62,LC or NT,NA,
Vellozia canelinha,2837.1,20,8,EN,B1ab(iii)+B2ab(iii),EN
Vellozia capiticola,8,8,2,EN,B1ab(iii)+B2ab(iii),
Vellozia caput-ardeae,543.5,28,9,EN,B1ab(iii)+B2ab(iii),
Vellozia caruncularis,43904,348,116,LC or NT,NA,
Vellozia caudata,2343.8,72,35,VU,B1ab(iii)+B2ab(iii),
Vellozia ciliata,3351.4,32,9,EN,B1ab(iii)+B2ab(iii),
Vellozia cinerascens,68549,36,15,VU,B2ab(iii),
Vellozia compacta,25552.9,288,98,LC or NT,NA,
Vellozia costata,4,4,1,CR,B1ab(iii)+B2ab(iii),
Vellozia crinita,4,4,4,CR,B1ab(iii)+B2ab(iii),
Vellozia cryptantha,2348,24,7,EN,B1ab(iii)+B2ab(iii),
Vellozia dasypus,176450,472,207,EN,B2ab(iii),
Vellozia decidua,12,12,4,EN,B1ab(iii),
Vellozia declinans,11030.4,96,26,LC or NT,NA,
Vellozia echinata,4,4,2,CR,B1ab(iii)+B2ab(iii),
Vellozia epidendroides,15722.9,340,134,LC or NT,NA,EN
Vellozia everaldoi,4,4,1,CR,B1ab(iii)+B2ab(iii),
Vellozia exilis,537.5,28,9,EN,B1ab(iii)+B2ab(iii),
Vellozia flavida,4,4,5,CR,B1ab(iii)+B2ab(iii),
Vellozia fontellana,4,4,3,CR,B1ab(iii)+B2ab(iii),
Vellozia formosa,4,4,4,CR,B1ab(iii)+B2ab(iii),
Vellozia froesii,38712,184,63,LC or NT,NA,
Vellozia fruticosa,2669.2,16,5,EN,B1ab(iii)+B2ab(iii),
Vellozia furcata,21975.7,164,57,LC or NT,NA,
Vellozia geotegens,884.6,40,13,EN,B1ab(iii)+B2ab(iii),
Vellozia gigantea,2619.1,20,5,EN,B1ab(iii)+B2ab(iii),EN
Vellozia giuliettiae,4,4,1,CR,B1ab(iii)+B2ab(iii),
Vellozia glabra,12180.7,84,21,LC or NT,NA,EN
Vellozia glandulifera,2907,36,12,VU,B1ab(iii)+B2ab(iii),
Vellozia glauca,1406112,368,108,LC or NT,NA,
Vellozia glochidea,610024,108,30,LC or NT,NA,
Vellozia goiasensis,20600.8,44,12,EN,B2ab(iii),
Vellozia graminea,7096.2,204,59,LC or NT,NA,
Vellozia graomogolensis,3939.3,32,11,EN,B1ab(iii)+B2ab(iii),
Vellozia hatschbachii,342.2,24,6,EN,B1ab(iii)+B2ab(iii),EN
Vellozia hemisphaerica,28792.1,116,35,LC or NT,NA,
Vellozia hirsuta,227503,272,99,LC or NT,NA,
Vellozia hypoxoides,35.7,12,3,EN,B1ab(iii),
Vellozia inselbergae,2434.6,12,5,EN,B1ab(iii)+B2ab(iii),
Vellozia intermedia,239068,76,24,LC or NT,NA,
Vellozia jolyi,4422.2,108,49,LC or NT,NA,
Vellozia lilacina,856.5,20,6,EN,B1ab(iii)+B2ab(iii),EN
Vellozia linearis,850.1,12,3,EN,B1ab(iii)+B2ab(iii),
Vellozia luteola,1165.8,28,9,EN,B1ab(iii)+B2ab(iii),
Vellozia marcescens,14937.6,56,21,EN,B2ab(iii),
Vellozia maxillarioides,3158.1,48,16,EN,B1ab(iii)+B2ab(iii),
Vellozia mellosilvae,12,12,3,EN,B1ab(iii),
Vellozia metzgerae,2455.4,48,19,EN,B1ab(iii)+B2ab(iii),EN
Vellozia minima,20386.7,228,76,LC or NT,NA,
Vellozia nanuzae,20018.6,32,10,VU,B2ab(iii),
Vellozia nivea,32802,36,13,VU,B2ab(iii),
Vellozia nuda,19134,44,12,EN,B2ab(iii),EN
Vellozia obtecta,3782.4,16,4,EN,B1ab(iii)+B2ab(iii),
Vellozia ornata,1133.8,28,11,EN,B1ab(iii)+B2ab(iii),
Vellozia ornithophila,700.2,16,4,EN,B1ab(iii)+B2ab(iii),
Vellozia patens,3615.1,56,16,VU,B1ab(iii)+B2ab(iii),EN
Vellozia peripherica,314.3,16,4,EN,B1ab(iii)+B2ab(iii),
Vellozia piresiana,259.9,8,3,EN,B2ab(iii),EN
Vellozia plicata,963726,484,151,EN,B2ab(iii),
Vellozia prolifera,8,8,5,CR,B1ab(iii)+B2ab(iii),
Vellozia pterocarpa,8,8,3,EN,B1ab(iii)+B2ab(iii),
Vellozia pulchra,18617.5,72,24,EN,B2ab(iii),EN
Vellozia pumila,51640,168,54,EN,B2ab(iii),
Vellozia punctulata,34827,140,51,LC or NT,NA,
Vellozia pusilla,8,8,2,EN,B1ab(iii)+B2ab(iii),
Vellozia ramosissima,2501.9,24,11,EN,B1ab(iii)+B2ab(iii),
Vellozia religiosa,4,4,2,CR,B1ab(iii)+B2ab(iii),
Vellozia resinosa,33458,164,49,EN,B2ab(iii),
Vellozia scabrosa,152.7,12,3,EN,B1ab(iii)+B2ab(iii),
Vellozia sellowii,7410.5,40,14,VU,B2ab(iii),
Vellozia semirii,17.2,12,3,EN,B1ab(iii),
Vellozia sessilis,280.9,20,6,EN,B1ab(iii)+B2ab(iii),EN
Vellozia seubertiana,1003825,92,28,EN,B2ab(iii),
Vellozia sincorana,15444.9,80,26,EN,B2ab(iii),
Vellozia spiralis,8326.3,28,10,EN,B2ab(iii),
Vellozia squalida,4,4,1,CR,B1ab(iii)+B2ab(iii),
Vellozia squamata,1320098,664,215,LC or NT,NA,LC
Vellozia stellata,3757.3,80,31,EN,B1ab(iii)+B2ab(iii),
Vellozia stenocarpa,3702.4,36,13,EN,B1ab(iii)+B2ab(iii),
Vellozia stipitata,25577.4,24,10,EN,B2ab(iii),
Vellozia strangii,329.5,20,5,EN,B1ab(iii)+B2ab(iii),
Vellozia streptophylla,8,8,2,EN,B1ab(iii)+B2ab(iii),EN
Vellozia subscabra,96300,72,19,LC or NT,NA,
Vellozia swallenii,3557.7,28,8,EN,B1ab(iii)+B2ab(iii),
Vellozia taxifolia,4749.7,44,12,VU,B1ab(iii)+B2ab(iii),
Vellozia teres,8,8,3,EN,B1ab(iii)+B2ab(iii),
Vellozia tillandsioides,366.5,12,3,EN,B1ab(iii)+B2ab(iii),
Vellozia tomeana,2333.9,12,4,EN,B1ab(iii)+B2ab(iii),
Vellozia torquata,4,4,1,CR,B1ab(iii)+B2ab(iii),
Vellozia tragacantha,6262.3,56,20,VU,B2ab(iii),
Vellozia tubiflora,7553103,852,284,LC or NT,NA,
Vellozia variabilis,1806944,592,195,LC or NT,NA,
Vellozia variegata,146034,216,94,LC or NT,NA,
Vellozia wasshausenii,1380.7,16,4,EN,B1ab(iii)+B2ab(iii),
